"DepartmentID","Name","GroupName","ModifiedDate"
"1","Engineering","Research and Development","4/30/2008 12:00:00 AM"
"2","Tool Design","Research and Development","4/30/2008 12:00:00 AM"
"3","Sales","Sales and Marketing","4/30/2008 12:00:00 AM"
"4","Marketing","Sales and Marketing","4/30/2008 12:00:00 AM"
"5","Purchasing","Inventory Management","4/30/2008 12:00:00 AM"
"6","Research and Development","Research and Development","4/30/2008 12:00:00 AM"
"7","Production","Manufacturing","4/30/2008 12:00:00 AM"
"8","Production Control","Manufacturing","4/30/2008 12:00:00 AM"
"9","Human Resources","Executive General and Administration","4/30/2008 12:00:00 AM"
"10","Finance","Executive General and Administration","4/30/2008 12:00:00 AM"
"11","Information Services","Executive General and Administration","4/30/2008 12:00:00 AM"
"12","Document Control","Quality Assurance","4/30/2008 12:00:00 AM"
"13","Quality Assurance","Quality Assurance","4/30/2008 12:00:00 AM"
"14","Facilities and Maintenance","Executive General and Administration","4/30/2008 12:00:00 AM"
"15","Shipping and Receiving","Inventory Management","4/30/2008 12:00:00 AM"
"16","Executive","Executive General and Administration","4/30/2008 12:00:00 AM"
