"BusinessEntityID","DepartmentID","ShiftID","StartDate","EndDate","ModifiedDate"
"1","16","1","1/14/2009 12:00:00 AM","","1/13/2009 12:00:00 AM"
"2","1","1","1/31/2008 12:00:00 AM","","1/30/2008 12:00:00 AM"
"3","1","1","11/11/2007 12:00:00 AM","","11/10/2007 12:00:00 AM"
"4","1","1","12/5/2007 12:00:00 AM","5/30/2010 12:00:00 AM","5/28/2010 12:00:00 AM"
"4","2","1","5/31/2010 12:00:00 AM","","5/30/2010 12:00:00 AM"
"5","1","1","1/6/2008 12:00:00 AM","","1/5/2008 12:00:00 AM"
"6","1","1","1/24/2008 12:00:00 AM","","1/23/2008 12:00:00 AM"
"7","6","1","2/8/2009 12:00:00 AM","","2/7/2009 12:00:00 AM"
"8","6","1","12/29/2008 12:00:00 AM","","12/28/2008 12:00:00 AM"
"9","6","1","1/16/2009 12:00:00 AM","","1/15/2009 12:00:00 AM"
"10","6","1","5/3/2009 12:00:00 AM","","5/2/2009 12:00:00 AM"
"11","2","1","12/5/2010 12:00:00 AM","","12/4/2010 12:00:00 AM"
"12","2","1","12/11/2007 12:00:00 AM","","12/10/2007 12:00:00 AM"
"13","2","1","12/23/2010 12:00:00 AM","","12/22/2010 12:00:00 AM"
"14","1","1","12/30/2010 12:00:00 AM","","12/29/2010 12:00:00 AM"
"15","1","1","1/18/2011 12:00:00 AM","","1/17/2011 12:00:00 AM"
"16","5","1","12/20/2007 12:00:00 AM","7/14/2009 12:00:00 AM","7/12/2009 12:00:00 AM"
"16","4","1","7/15/2009 12:00:00 AM","","7/14/2009 12:00:00 AM"
"17","4","1","1/26/2007 12:00:00 AM","","1/25/2007 12:00:00 AM"
"18","4","1","2/7/2011 12:00:00 AM","","2/6/2011 12:00:00 AM"
"19","4","1","2/14/2011 12:00:00 AM","","2/13/2011 12:00:00 AM"
"20","4","1","1/7/2011 12:00:00 AM","","1/6/2011 12:00:00 AM"
"21","4","1","3/2/2009 12:00:00 AM","","3/1/2009 12:00:00 AM"
"22","4","1","12/12/2008 12:00:00 AM","","12/11/2008 12:00:00 AM"
"23","4","1","1/12/2009 12:00:00 AM","","1/11/2009 12:00:00 AM"
"24","4","1","1/18/2009 12:00:00 AM","","1/17/2009 12:00:00 AM"
"25","7","1","2/3/2009 12:00:00 AM","","2/2/2009 12:00:00 AM"
"26","8","1","12/1/2008 12:00:00 AM","","11/30/2008 12:00:00 AM"
"27","7","1","2/27/2008 12:00:00 AM","","2/26/2008 12:00:00 AM"
"28","7","1","6/30/2006 12:00:00 AM","","6/29/2006 12:00:00 AM"
"29","7","1","1/23/2009 12:00:00 AM","","1/22/2009 12:00:00 AM"
"30","7","1","1/29/2009 12:00:00 AM","","1/28/2009 12:00:00 AM"
"31","7","1","1/4/2009 12:00:00 AM","","1/3/2009 12:00:00 AM"
"32","7","1","12/29/2008 12:00:00 AM","","12/28/2008 12:00:00 AM"
"33","7","1","12/17/2008 12:00:00 AM","","12/16/2008 12:00:00 AM"
"34","7","1","2/16/2009 12:00:00 AM","","2/15/2009 12:00:00 AM"
"35","7","1","2/8/2009 12:00:00 AM","","2/7/2009 12:00:00 AM"
"36","7","1","2/10/2009 12:00:00 AM","","2/9/2009 12:00:00 AM"
"37","7","1","3/7/2009 12:00:00 AM","","3/6/2009 12:00:00 AM"
"38","7","1","1/16/2010 12:00:00 AM","","1/15/2010 12:00:00 AM"
"39","7","1","2/5/2010 12:00:00 AM","","2/4/2010 12:00:00 AM"
"40","7","3","12/26/2007 12:00:00 AM","","12/25/2007 12:00:00 AM"
"41","7","3","1/21/2009 12:00:00 AM","","1/20/2009 12:00:00 AM"
"42","7","3","12/27/2008 12:00:00 AM","","12/26/2008 12:00:00 AM"
"43","7","3","1/2/2009 12:00:00 AM","","1/1/2009 12:00:00 AM"
"44","7","3","12/8/2008 12:00:00 AM","","12/7/2008 12:00:00 AM"
"45","7","3","2/26/2009 12:00:00 AM","","2/25/2009 12:00:00 AM"
"46","7","3","2/8/2009 12:00:00 AM","","2/7/2009 12:00:00 AM"
"47","7","1","2/22/2009 12:00:00 AM","","2/21/2009 12:00:00 AM"
"48","7","1","1/6/2008 12:00:00 AM","","1/5/2008 12:00:00 AM"
"49","7","1","1/7/2008 12:00:00 AM","","1/6/2008 12:00:00 AM"
"50","7","1","2/2/2008 12:00:00 AM","","2/1/2008 12:00:00 AM"
"51","7","1","2/20/2008 12:00:00 AM","","2/19/2008 12:00:00 AM"
"52","7","1","3/10/2008 12:00:00 AM","","3/9/2008 12:00:00 AM"
"53","7","1","3/28/2008 12:00:00 AM","","3/27/2008 12:00:00 AM"
"54","7","1","1/1/2010 12:00:00 AM","","12/31/2009 12:00:00 AM"
"55","7","3","2/8/2008 12:00:00 AM","","2/7/2008 12:00:00 AM"
"56","7","3","2/5/2009 12:00:00 AM","","2/4/2009 12:00:00 AM"
"57","7","3","2/23/2009 12:00:00 AM","","2/22/2009 12:00:00 AM"
"58","7","3","12/5/2008 12:00:00 AM","","12/4/2008 12:00:00 AM"
"59","7","3","12/24/2008 12:00:00 AM","","12/23/2008 12:00:00 AM"
"60","7","3","1/11/2009 12:00:00 AM","","1/10/2009 12:00:00 AM"
"61","7","3","1/18/2009 12:00:00 AM","","1/17/2009 12:00:00 AM"
"62","7","2","3/17/2008 12:00:00 AM","","3/16/2008 12:00:00 AM"
"63","7","2","1/29/2010 12:00:00 AM","","1/28/2010 12:00:00 AM"
"64","7","2","2/23/2010 12:00:00 AM","","2/22/2010 12:00:00 AM"
"65","7","2","2/23/2010 12:00:00 AM","","2/22/2010 12:00:00 AM"
"66","7","2","12/22/2009 12:00:00 AM","","12/21/2009 12:00:00 AM"
"67","7","2","3/5/2009 12:00:00 AM","","3/4/2009 12:00:00 AM"
"68","7","2","12/3/2009 12:00:00 AM","","12/2/2009 12:00:00 AM"
"69","7","2","2/15/2009 12:00:00 AM","","2/14/2009 12:00:00 AM"
"70","7","2","12/15/2008 12:00:00 AM","","12/14/2008 12:00:00 AM"
"71","7","3","2/15/2009 12:00:00 AM","","2/14/2009 12:00:00 AM"
"72","7","3","12/1/2008 12:00:00 AM","","11/30/2008 12:00:00 AM"
"73","7","3","12/19/2008 12:00:00 AM","","12/18/2008 12:00:00 AM"
"74","7","3","1/7/2009 12:00:00 AM","","1/6/2009 12:00:00 AM"
"75","7","3","1/26/2009 12:00:00 AM","","1/25/2009 12:00:00 AM"
"76","7","3","2/12/2009 12:00:00 AM","","2/11/2009 12:00:00 AM"
"77","7","3","3/3/2009 12:00:00 AM","","3/2/2009 12:00:00 AM"
"78","7","2","12/15/2008 12:00:00 AM","","12/14/2008 12:00:00 AM"
"79","7","2","1/24/2010 12:00:00 AM","","1/23/2010 12:00:00 AM"
"80","7","2","1/17/2010 12:00:00 AM","","1/16/2010 12:00:00 AM"
"81","7","2","12/29/2009 12:00:00 AM","","12/28/2009 12:00:00 AM"
"82","7","2","3/3/2010 12:00:00 AM","","3/2/2010 12:00:00 AM"
"83","7","2","2/12/2010 12:00:00 AM","","2/11/2010 12:00:00 AM"
"84","7","2","2/5/2010 12:00:00 AM","","2/4/2010 12:00:00 AM"
