"BusinessEntityID","RateChangeDate","Rate","PayFrequency","ModifiedDate"
"1","1/14/2009 12:00:00 AM","125.5000","2","6/30/2014 12:00:00 AM"
"2","1/31/2008 12:00:00 AM","63.4615","2","6/30/2014 12:00:00 AM"
"3","11/11/2007 12:00:00 AM","43.2692","2","6/30/2014 12:00:00 AM"
"4","12/5/2007 12:00:00 AM","8.6200","2","11/21/2007 12:00:00 AM"
"4","5/31/2010 12:00:00 AM","23.7200","2","5/16/2010 12:00:00 AM"
"4","12/15/2011 12:00:00 AM","29.8462","2","12/1/2011 12:00:00 AM"
"5","1/6/2008 12:00:00 AM","32.6923","2","6/30/2014 12:00:00 AM"
"6","1/24/2008 12:00:00 AM","32.6923","2","6/30/2014 12:00:00 AM"
"7","2/8/2009 12:00:00 AM","50.4808","2","6/30/2014 12:00:00 AM"
"8","12/29/2008 12:00:00 AM","40.8654","2","6/30/2014 12:00:00 AM"
"9","1/16/2009 12:00:00 AM","40.8654","2","6/30/2014 12:00:00 AM"
"10","5/3/2009 12:00:00 AM","42.4808","2","6/30/2014 12:00:00 AM"
"11","12/5/2010 12:00:00 AM","28.8462","2","6/30/2014 12:00:00 AM"
"12","12/11/2007 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"13","12/23/2010 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"14","12/30/2010 12:00:00 AM","36.0577","2","6/30/2014 12:00:00 AM"
"15","1/18/2011 12:00:00 AM","32.6923","2","6/30/2014 12:00:00 AM"
"16","12/20/2007 12:00:00 AM","24.0000","2","12/6/2007 12:00:00 AM"
"16","7/15/2009 12:00:00 AM","28.7500","2","7/1/2009 12:00:00 AM"
"16","4/30/2012 12:00:00 AM","37.5000","2","4/16/2012 12:00:00 AM"
"17","1/26/2007 12:00:00 AM","13.4615","2","6/30/2014 12:00:00 AM"
"18","2/7/2011 12:00:00 AM","14.4231","2","6/30/2014 12:00:00 AM"
"19","2/14/2011 12:00:00 AM","13.4615","2","6/30/2014 12:00:00 AM"
"20","1/7/2011 12:00:00 AM","13.4615","2","6/30/2014 12:00:00 AM"
"21","3/2/2009 12:00:00 AM","14.4231","2","6/30/2014 12:00:00 AM"
"22","12/12/2008 12:00:00 AM","14.4231","2","6/30/2014 12:00:00 AM"
"23","1/12/2009 12:00:00 AM","14.4231","2","6/30/2014 12:00:00 AM"
"24","1/18/2009 12:00:00 AM","14.4231","2","6/30/2014 12:00:00 AM"
"25","2/3/2009 12:00:00 AM","84.1346","2","6/30/2014 12:00:00 AM"
"26","12/1/2008 12:00:00 AM","24.5192","2","6/30/2014 12:00:00 AM"
"27","2/27/2008 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"28","6/30/2006 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"29","1/23/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"30","1/29/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"31","1/4/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"32","12/29/2008 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"33","12/17/2008 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"34","2/16/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"35","2/8/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"36","2/10/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"37","3/7/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"38","1/16/2010 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"39","2/5/2010 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"40","12/26/2007 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"41","1/21/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"42","12/27/2008 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"43","1/2/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"44","12/8/2008 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"45","2/26/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"46","2/8/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"47","2/22/2009 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"48","1/6/2008 12:00:00 AM","13.4500","1","6/30/2014 12:00:00 AM"
"49","1/7/2008 12:00:00 AM","13.4500","1","6/30/2014 12:00:00 AM"
"50","2/2/2008 12:00:00 AM","13.4500","1","6/30/2014 12:00:00 AM"
"51","2/20/2008 12:00:00 AM","13.4500","1","6/30/2014 12:00:00 AM"
"52","3/10/2008 12:00:00 AM","13.4500","1","6/30/2014 12:00:00 AM"
"53","3/28/2008 12:00:00 AM","13.4500","1","6/30/2014 12:00:00 AM"
"54","1/1/2010 12:00:00 AM","13.4500","1","6/30/2014 12:00:00 AM"
"55","2/8/2008 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"56","2/5/2009 12:00:00 AM","11.0000","1","6/30/2014 12:00:00 AM"
"57","2/23/2009 12:00:00 AM","11.0000","1","6/30/2014 12:00:00 AM"
"58","12/5/2008 12:00:00 AM","11.0000","1","6/30/2014 12:00:00 AM"
"59","12/24/2008 12:00:00 AM","11.0000","1","6/30/2014 12:00:00 AM"
"60","1/11/2009 12:00:00 AM","11.0000","1","6/30/2014 12:00:00 AM"
"61","1/18/2009 12:00:00 AM","11.0000","1","6/30/2014 12:00:00 AM"
"62","3/17/2008 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"63","1/29/2010 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"64","2/23/2010 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"65","2/23/2010 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"66","12/22/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"67","3/5/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"68","12/3/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"69","2/15/2009 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"70","12/15/2008 12:00:00 AM","12.4500","1","6/30/2014 12:00:00 AM"
"71","2/15/2009 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"72","12/1/2008 12:00:00 AM","9.5000","1","6/30/2014 12:00:00 AM"
"73","12/19/2008 12:00:00 AM","9.5000","1","6/30/2014 12:00:00 AM"
"74","1/7/2009 12:00:00 AM","9.5000","1","6/30/2014 12:00:00 AM"
"75","1/26/2009 12:00:00 AM","9.5000","1","6/30/2014 12:00:00 AM"
"76","2/12/2009 12:00:00 AM","9.5000","1","6/30/2014 12:00:00 AM"
"77","3/3/2009 12:00:00 AM","9.5000","1","6/30/2014 12:00:00 AM"
"78","12/15/2008 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
"79","1/24/2010 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"80","1/17/2010 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"81","12/29/2009 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"82","3/3/2010 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"83","2/12/2010 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"84","2/5/2010 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"85","12/11/2009 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"86","1/5/2009 12:00:00 AM","15.0000","1","6/30/2014 12:00:00 AM"
"87","12/22/2008 12:00:00 AM","25.0000","2","6/30/2014 12:00:00 AM"
