"BillOfMaterialsID","ProductAssemblyID","ComponentID","StartDate","EndDate","UnitMeasureCode","BOMLevel","PerAssemblyQty","ModifiedDate"
"893","","749","5/26/2010 12:00:00 AM","","EA ","0","1.00","5/12/2010 12:00:00 AM"
"271","","750","3/4/2010 12:00:00 AM","5/3/2010 12:00:00 AM","EA ","0","1.00","5/3/2010 12:00:00 AM"
"34","","750","5/4/2010 12:00:00 AM","","EA ","0","1.00","4/20/2010 12:00:00 AM"
"830","","751","5/26/2010 12:00:00 AM","","EA ","0","1.00","5/12/2010 12:00:00 AM"
"2074","","752","7/8/2010 12:00:00 AM","","EA ","0","1.00","6/24/2010 12:00:00 AM"
"1950","","753","6/19/2010 12:00:00 AM","8/18/2010 12:00:00 AM","EA ","0","1.00","8/18/2010 12:00:00 AM"
"1761","","753","8/19/2010 12:00:00 AM","","EA ","0","1.00","8/5/2010 12:00:00 AM"
"3088","","754","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"3351","","755","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"3246","","756","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2760","","757","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2395","","758","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"3087","","759","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"3350","","760","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2822","","761","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"3245","","762","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2759","","763","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2394","","764","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"3341","","765","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2815","","766","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2449","","767","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"2899","","768","9/15/2010 12:00:00 AM","11/14/2010 12:00:00 AM","EA ","0","1.00","11/14/2010 12:00:00 AM"
"2738","","768","11/15/2010 12:00:00 AM","","EA ","0","1.00","11/1/2010 12:00:00 AM"
"2363","","769","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"1265","","770","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"1195","","771","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"3017","","772","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"3281","","773","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2783","","774","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"5","","775","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"2737","","776","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2362","","777","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"1264","","778","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"1642","","779","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"393","","780","3/18/2010 12:00:00 AM","","EA ","0","1.00","3/4/2010 12:00:00 AM"
"52","","781","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"3217","","782","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"808","","783","5/26/2010 12:00:00 AM","","EA ","0","1.00","5/12/2010 12:00:00 AM"
"2049","","784","7/8/2010 12:00:00 AM","","EA ","0","1.00","6/24/2010 12:00:00 AM"
"4","","785","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"2736","","786","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2361","","787","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"1263","","788","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"3247","","789","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2761","","790","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2396","","791","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"3089","","792","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"2739","","793","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2364","","794","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"1266","","795","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"482","","796","3/18/2010 12:00:00 AM","","EA ","0","1.00","3/4/2010 12:00:00 AM"
"1024","","797","5/26/2010 12:00:00 AM","7/25/2010 12:00:00 AM","EA ","0","1.00","7/25/2010 12:00:00 AM"
"783","","797","7/26/2010 12:00:00 AM","","EA ","0","1.00","7/12/2010 12:00:00 AM"
"2333","","798","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"1240","","799","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"450","","800","3/18/2010 12:00:00 AM","","EA ","0","1.00","3/4/2010 12:00:00 AM"
"92","","801","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"1303","","953","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"1699","","954","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"3060","","955","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"3326","","956","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2107","","957","7/8/2010 12:00:00 AM","","EA ","0","1.00","6/24/2010 12:00:00 AM"
"2800","","958","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"1778","","959","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"3102","","960","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"2027","","961","7/8/2010 12:00:00 AM","","EA ","0","1.00","6/24/2010 12:00:00 AM"
"1698","","962","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"3059","","963","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"879","","964","5/26/2010 12:00:00 AM","","EA ","0","1.00","5/12/2010 12:00:00 AM"
"1789","","965","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"3037","","966","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"3304","","967","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2801","","968","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"1779","","969","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"419","","970","3/18/2010 12:00:00 AM","","EA ","0","1.00","3/4/2010 12:00:00 AM"
"73","","971","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"1071","","972","5/26/2010 12:00:00 AM","7/25/2010 12:00:00 AM","EA ","0","1.00","7/25/2010 12:00:00 AM"
"867","","972","7/26/2010 12:00:00 AM","","EA ","0","1.00","7/12/2010 12:00:00 AM"
"2993","","973","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"33","","974","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"829","","975","5/26/2010 12:00:00 AM","","EA ","0","1.00","5/12/2010 12:00:00 AM"
"2073","","976","7/8/2010 12:00:00 AM","","EA ","0","1.00","6/24/2010 12:00:00 AM"
"103","","977","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"1668","","978","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"3036","","979","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"1641","","980","6/19/2010 12:00:00 AM","","EA ","0","1.00","6/5/2010 12:00:00 AM"
"392","","981","3/18/2010 12:00:00 AM","","EA ","0","1.00","3/4/2010 12:00:00 AM"
"51","","982","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"850","","983","5/26/2010 12:00:00 AM","","EA ","0","1.00","5/12/2010 12:00:00 AM"
"1194","","984","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"3016","","985","12/15/2010 12:00:00 AM","","EA ","0","1.00","12/1/2010 12:00:00 AM"
"3280","","986","12/23/2010 12:00:00 AM","","EA ","0","1.00","12/9/2010 12:00:00 AM"
"2782","","987","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2422","","988","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"3","","989","3/4/2010 12:00:00 AM","","EA ","0","1.00","2/18/2010 12:00:00 AM"
"2735","","990","9/15/2010 12:00:00 AM","","EA ","0","1.00","9/1/2010 12:00:00 AM"
"2360","","991","8/5/2010 12:00:00 AM","","EA ","0","1.00","7/22/2010 12:00:00 AM"
"1262","","992","6/9/2010 12:00:00 AM","","EA ","0","1.00","5/26/2010 12:00:00 AM"
"481","","993","3/18/2010 12:00:00 AM","","EA ","0","1.00","3/4/2010 12:00:00 AM"
"809","","997","5/26/2010 12:00:00 AM","","EA ","0","1.00","5/12/2010 12:00:00 AM"
"2050","","998","7/8/2010 12:00:00 AM","","EA ","0","1.00","6/24/2010 12:00:00 AM"
"1938","","999","6/19/2010 12:00:00 AM","8/18/2010 12:00:00 AM","EA ","0","1.00","8/18/2010 12:00:00 AM"
"1731","","999","8/19/2010 12:00:00 AM","","EA ","0","1.00","8/5/2010 12:00:00 AM"
"2000","3","2","7/8/2010 12:00:00 AM","","EA ","3","10.00","6/24/2010 12:00:00 AM"
"1657","3","461","6/19/2010 12:00:00 AM","","EA ","3","1.00","6/5/2010 12:00:00 AM"
"389","3","504","3/18/2010 12:00:00 AM","","EA ","3","2.00","3/4/2010 12:00:00 AM"
"805","3","505","5/26/2010 12:00:00 AM","","EA ","3","2.00","5/12/2010 12:00:00 AM"
"2433","316","486","8/5/2010 12:00:00 AM","","EA ","4","1.00","7/22/2010 12:00:00 AM"
"1290","324","486","6/9/2010 12:00:00 AM","","EA ","3","1.00","5/26/2010 12:00:00 AM"
"875","327","483","5/26/2010 12:00:00 AM","","EA ","3","1.00","5/12/2010 12:00:00 AM"
"3337","328","482","12/23/2010 12:00:00 AM","","EA ","3","1.00","12/9/2010 12:00:00 AM"
"2806","329","482","9/15/2010 12:00:00 AM","","EA ","3","1.00","9/1/2010 12:00:00 AM"
"2432","330","482","8/5/2010 12:00:00 AM","","EA ","3","1.00","7/22/2010 12:00:00 AM"
"1289","331","482","6/9/2010 12:00:00 AM","","EA ","4","1.00","5/26/2010 12:00:00 AM"
"492","350","486","3/18/2010 12:00:00 AM","","EA ","4","1.00","3/4/2010 12:00:00 AM"
"876","398","487","5/26/2010 12:00:00 AM","","EA ","3","1.00","5/12/2010 12:00:00 AM"
"3338","399","485","12/23/2010 12:00:00 AM","","EA ","3","1.00","12/9/2010 12:00:00 AM"
"543","400","523","3/18/2010 12:00:00 AM","","EA ","3","1.00","3/4/2010 12:00:00 AM"
"2162","400","525","7/8/2010 12:00:00 AM","","EA ","3","1.00","6/24/2010 12:00:00 AM"
"935","401","524","5/26/2010 12:00:00 AM","","EA ","3","1.00","5/12/2010 12:00:00 AM"
"2487","401","526","8/5/2010 12:00:00 AM","","EA ","3","1.00","7/22/2010 12:00:00 AM"
"2327","514","497","8/5/2010 12:00:00 AM","","EA ","2","4.00","7/22/2010 12:00:00 AM"
"3138","514","528","12/15/2010 12:00:00 AM","","EA ","2","1.00","12/1/2010 12:00:00 AM"
"1830","514","530","6/19/2010 12:00:00 AM","","EA ","2","1.00","6/5/2010 12:00:00 AM"
