"ProductID","StartDate","EndDate","StandardCost","ModifiedDate"
"707","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","12.0278","5/29/2012 12:00:00 AM"
"707","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","13.8782","5/29/2013 12:00:00 AM"
"707","5/30/2013 12:00:00 AM","","13.0863","5/16/2013 12:00:00 AM"
"708","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","12.0278","5/29/2012 12:00:00 AM"
"708","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","13.8782","5/29/2013 12:00:00 AM"
"708","5/30/2013 12:00:00 AM","","13.0863","5/16/2013 12:00:00 AM"
"709","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","3.3963","5/29/2012 12:00:00 AM"
"710","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","3.3963","5/29/2012 12:00:00 AM"
"711","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","12.0278","5/29/2012 12:00:00 AM"
"711","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","13.8782","5/29/2013 12:00:00 AM"
"711","5/30/2013 12:00:00 AM","","13.0863","5/16/2013 12:00:00 AM"
"712","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","5.7052","5/29/2012 12:00:00 AM"
"712","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","5.2297","5/29/2013 12:00:00 AM"
"712","5/30/2013 12:00:00 AM","","6.9223","5/16/2013 12:00:00 AM"
"713","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","31.7244","5/29/2012 12:00:00 AM"
"713","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","29.0807","5/29/2013 12:00:00 AM"
"713","5/30/2013 12:00:00 AM","","38.4923","5/16/2013 12:00:00 AM"
"714","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","31.7244","5/29/2012 12:00:00 AM"
"714","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","29.0807","5/29/2013 12:00:00 AM"
"714","5/30/2013 12:00:00 AM","","38.4923","5/16/2013 12:00:00 AM"
"715","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","31.7244","5/29/2012 12:00:00 AM"
"715","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","29.0807","5/29/2013 12:00:00 AM"
"715","5/30/2013 12:00:00 AM","","38.4923","5/16/2013 12:00:00 AM"
"716","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","31.7244","5/29/2012 12:00:00 AM"
"716","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","29.0807","5/29/2013 12:00:00 AM"
"716","5/30/2013 12:00:00 AM","","38.4923","5/16/2013 12:00:00 AM"
"717","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","747.9682","5/29/2012 12:00:00 AM"
"717","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","722.2568","5/29/2013 12:00:00 AM"
"717","5/30/2013 12:00:00 AM","","868.6342","5/16/2013 12:00:00 AM"
"718","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","747.9682","5/29/2012 12:00:00 AM"
"718","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","722.2568","5/29/2013 12:00:00 AM"
"718","5/30/2013 12:00:00 AM","","868.6342","5/16/2013 12:00:00 AM"
"719","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","747.9682","5/29/2012 12:00:00 AM"
"719","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","722.2568","5/29/2013 12:00:00 AM"
"719","5/30/2013 12:00:00 AM","","868.6342","5/16/2013 12:00:00 AM"
"720","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","747.9682","5/29/2012 12:00:00 AM"
"720","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","722.2568","5/29/2013 12:00:00 AM"
"720","5/30/2013 12:00:00 AM","","868.6342","5/16/2013 12:00:00 AM"
"721","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","747.9682","5/29/2012 12:00:00 AM"
"721","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","722.2568","5/29/2013 12:00:00 AM"
"721","5/30/2013 12:00:00 AM","","868.6342","5/16/2013 12:00:00 AM"
"722","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","176.1997","5/29/2012 12:00:00 AM"
"722","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","170.1428","5/29/2013 12:00:00 AM"
"722","5/30/2013 12:00:00 AM","","204.6251","5/16/2013 12:00:00 AM"
"723","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","176.1997","5/29/2012 12:00:00 AM"
"723","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","170.1428","5/29/2013 12:00:00 AM"
"723","5/30/2013 12:00:00 AM","","204.6251","5/16/2013 12:00:00 AM"
"724","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","176.1997","5/29/2012 12:00:00 AM"
"724","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","170.1428","5/29/2013 12:00:00 AM"
"724","5/30/2013 12:00:00 AM","","204.6251","5/16/2013 12:00:00 AM"
"725","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","181.4857","5/29/2012 12:00:00 AM"
"725","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","187.1571","5/29/2013 12:00:00 AM"
"726","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","181.4857","5/29/2012 12:00:00 AM"
"726","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","187.1571","5/29/2013 12:00:00 AM"
"727","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","181.4857","5/29/2012 12:00:00 AM"
"727","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","187.1571","5/29/2013 12:00:00 AM"
"728","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","181.4857","5/29/2012 12:00:00 AM"
"728","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","187.1571","5/29/2013 12:00:00 AM"
"729","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","181.4857","5/29/2012 12:00:00 AM"
"729","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","187.1571","5/29/2013 12:00:00 AM"
"730","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","181.4857","5/29/2012 12:00:00 AM"
"730","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","187.1571","5/29/2013 12:00:00 AM"
"731","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","352.1394","5/29/2012 12:00:00 AM"
"732","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","352.1394","5/29/2012 12:00:00 AM"
"733","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","352.1394","5/29/2012 12:00:00 AM"
"734","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","352.1394","5/29/2012 12:00:00 AM"
"735","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","352.1394","5/29/2012 12:00:00 AM"
"736","5/31/2011 12:00:00 AM","5/29/2012 12:00:00 AM","176.1997","5/29/2012 12:00:00 AM"
"736","5/30/2012 12:00:00 AM","5/29/2013 12:00:00 AM","170.1428","5/29/2013 12:00:00 AM"
"736","5/30/2013 12:00:00 AM","","204.6251","5/16/2013 12:00:00 AM"
