"ProductID","BusinessEntityID","AverageLeadTime","StandardPrice","LastReceiptCost","LastReceiptDate","MinOrderQty","MaxOrderQty","OnOrderQty","UnitMeasureCode","ModifiedDate"
"1","1580","17","47.8700","50.2635","8/29/2011 12:00:00 AM","1","5","3","CS ","8/29/2011 12:00:00 AM"
"2","1688","19","39.9200","41.9160","8/29/2011 12:00:00 AM","1","5","3","CTN","8/29/2011 12:00:00 AM"
"4","1650","17","54.3100","57.0255","8/29/2011 12:00:00 AM","1","5","","CTN","8/29/2011 12:00:00 AM"
"317","1578","19","28.1700","29.5785","8/29/2011 12:00:00 AM","100","1000","300","EA ","8/29/2011 12:00:00 AM"
"317","1678","17","25.7700","27.0585","8/25/2011 12:00:00 AM","100","1000","","EA ","8/25/2011 12:00:00 AM"
"318","1578","19","34.3800","36.0990","8/29/2011 12:00:00 AM","100","1000","","EA ","8/29/2011 12:00:00 AM"
"318","1678","17","31.9800","33.5790","8/25/2011 12:00:00 AM","100","1000","300","EA ","8/25/2011 12:00:00 AM"
"319","1556","19","44.2100","46.4205","8/29/2011 12:00:00 AM","100","1000","300","EA ","8/29/2011 12:00:00 AM"
"319","1578","19","46.2700","48.5835","8/29/2011 12:00:00 AM","100","1000","","EA ","8/29/2011 12:00:00 AM"
"319","1678","17","43.8700","46.0635","8/25/2011 12:00:00 AM","100","1000","","EA ","8/25/2011 12:00:00 AM"
"320","1514","19","47.2800","49.6440","8/29/2011 12:00:00 AM","1","5","3","CAN","8/29/2011 12:00:00 AM"
"320","1602","17","45.2100","47.4705","8/19/2011 12:00:00 AM","1","5","","CAN","8/19/2011 12:00:00 AM"
"320","1604","17","43.2100","45.3705","8/25/2011 12:00:00 AM","1","5","","CAN","8/25/2011 12:00:00 AM"
"321","1514","19","42.2100","44.3205","8/29/2011 12:00:00 AM","1","5","","CAN","8/29/2011 12:00:00 AM"
"321","1602","17","40.7600","42.7980","8/19/2011 12:00:00 AM","1","5","","CAN","8/19/2011 12:00:00 AM"
"321","1604","17","38.5600","40.4880","8/25/2011 12:00:00 AM","1","5","","CAN","8/25/2011 12:00:00 AM"
"322","1514","19","27.3300","28.6965","8/24/2011 12:00:00 AM","20","100","","DZ ","8/24/2011 12:00:00 AM"
"322","1602","17","24.2100","25.4205","8/25/2011 12:00:00 AM","20","100","","DZ ","8/25/2011 12:00:00 AM"
"322","1604","17","25.1100","26.3655","8/25/2011 12:00:00 AM","20","100","","DZ ","8/25/2011 12:00:00 AM"
"323","1698","17","47.8700","50.2635","8/25/2011 12:00:00 AM","1","5","","CS ","8/25/2011 12:00:00 AM"
"325","1590","19","0.2000","0.2100","8/29/2011 12:00:00 AM","500","2000","","EA ","8/29/2011 12:00:00 AM"
"326","1590","19","0.2000","0.2100","8/29/2011 12:00:00 AM","500","2000","","EA ","8/29/2011 12:00:00 AM"
"332","1608","19","10.3000","10.8150","8/29/2011 12:00:00 AM","100","1000","","EA ","8/29/2011 12:00:00 AM"
"341","1598","15","39.2100","41.1705","8/26/2011 12:00:00 AM","1","5","3","CTN","8/26/2011 12:00:00 AM"
"341","1614","19","45.3100","47.5755","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"341","1622","19","45.2100","47.4705","8/22/2011 12:00:00 AM","1","5","","CTN","8/22/2011 12:00:00 AM"
"342","1598","15","37.2100","39.0705","8/26/2011 12:00:00 AM","1","5","3","CTN","8/26/2011 12:00:00 AM"
"342","1614","19","43.3100","45.4755","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"342","1622","19","43.2100","45.3705","8/22/2011 12:00:00 AM","1","5","","CTN","8/22/2011 12:00:00 AM"
"343","1598","15","41.2800","43.3440","8/26/2011 12:00:00 AM","1","5","","CTN","8/26/2011 12:00:00 AM"
"343","1614","19","47.3800","49.7490","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"343","1622","19","47.2800","49.6440","8/22/2011 12:00:00 AM","1","5","","CTN","8/22/2011 12:00:00 AM"
"344","1598","15","37.2100","39.0705","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"344","1614","19","43.3100","45.4755","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"344","1622","19","43.2100","45.3705","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"345","1598","15","35.2100","36.9705","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"345","1614","19","41.3100","43.3755","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"345","1622","19","41.2100","43.2705","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"346","1598","15","39.2800","41.2440","8/13/2011 12:00:00 AM","1","5","","CTN","8/13/2011 12:00:00 AM"
"346","1614","19","45.3800","47.6490","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"346","1622","19","45.2800","47.5440","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"347","1598","15","35.2100","36.9705","8/13/2011 12:00:00 AM","1","5","3","CTN","8/13/2011 12:00:00 AM"
"347","1614","19","41.3100","43.3755","8/17/2011 12:00:00 AM","1","5","","CTN","8/17/2011 12:00:00 AM"
"347","1622","19","41.2100","43.2705","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"348","1598","15","33.2100","34.8705","8/20/2011 12:00:00 AM","1","5","3","CTN","8/20/2011 12:00:00 AM"
"348","1614","19","39.3100","41.2755","8/17/2011 12:00:00 AM","1","5","","CTN","8/17/2011 12:00:00 AM"
"348","1622","19","39.2100","41.1705","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"349","1598","15","37.2800","39.1440","8/20/2011 12:00:00 AM","1","5","3","CTN","8/20/2011 12:00:00 AM"
"349","1614","19","43.3800","45.5490","8/22/2011 12:00:00 AM","1","5","","CTN","8/22/2011 12:00:00 AM"
"349","1622","19","43.2800","45.4440","8/18/2011 12:00:00 AM","1","5","","CTN","8/18/2011 12:00:00 AM"
"351","1544","15","5.5000","5.7750","8/26/2011 12:00:00 AM","100","1000","","EA ","8/26/2011 12:00:00 AM"
"351","1694","15","5.9000","6.1950","8/26/2011 12:00:00 AM","100","1000","300","EA ","8/26/2011 12:00:00 AM"
"352","1544","15","1.1000","1.1550","8/26/2011 12:00:00 AM","100","1000","300","EA ","8/26/2011 12:00:00 AM"
"352","1694","15","1.4000","1.4700","8/26/2011 12:00:00 AM","100","1000","","EA ","8/26/2011 12:00:00 AM"
"355","1508","15","1.3000","1.3650","8/26/2011 12:00:00 AM","100","1000","300","EA ","8/26/2011 12:00:00 AM"
"356","1516","18","3.4300","3.6015","8/27/2011 12:00:00 AM","20","100","","PAK","8/27/2011 12:00:00 AM"
"356","1572","16","3.2200","3.3810","8/28/2011 12:00:00 AM","20","100","60","PAK","8/28/2011 12:00:00 AM"
"357","1516","18","3.7900","3.9795","8/27/2011 12:00:00 AM","20","100","","PAK","8/27/2011 12:00:00 AM"
"357","1572","16","4.1100","4.3155","8/28/2011 12:00:00 AM","20","100","60","PAK","8/28/2011 12:00:00 AM"
"358","1500","16","6.6500","6.9825","8/28/2011 12:00:00 AM","20","100","60","PAK","8/28/2011 12:00:00 AM"
"359","1496","17","45.4100","47.6805","8/29/2011 12:00:00 AM","1","5","3","CS ","8/29/2011 12:00:00 AM"
"359","1554","19","45.2600","47.5230","8/11/2011 12:00:00 AM","1","5","","CS ","8/11/2011 12:00:00 AM"
"360","1496","17","43.4100","45.5805","8/29/2011 12:00:00 AM","1","5","3","CS ","8/29/2011 12:00:00 AM"
"360","1554","19","43.2600","45.4230","8/11/2011 12:00:00 AM","1","5","","CS ","8/11/2011 12:00:00 AM"
"361","1496","17","47.4800","49.8540","8/5/2011 12:00:00 AM","1","5","","CS ","8/5/2011 12:00:00 AM"
"361","1554","19","47.3300","49.6965","8/18/2011 12:00:00 AM","1","5","","CS ","8/18/2011 12:00:00 AM"
"362","1496","17","43.4100","45.5805","8/5/2011 12:00:00 AM","1","5","3","CS ","8/5/2011 12:00:00 AM"
"362","1554","19","43.2600","45.4230","8/18/2011 12:00:00 AM","1","5","","CS ","8/18/2011 12:00:00 AM"
"363","1496","17","41.4100","43.4805","8/5/2011 12:00:00 AM","1","5","","CS ","8/5/2011 12:00:00 AM"
"363","1554","19","41.2600","43.3230","8/18/2011 12:00:00 AM","1","5","","CS ","8/18/2011 12:00:00 AM"
"364","1496","17","45.4800","47.7540","8/12/2011 12:00:00 AM","1","5","3","CS ","8/12/2011 12:00:00 AM"
"364","1554","19","45.3300","47.5965","8/24/2011 12:00:00 AM","1","5","","CS ","8/24/2011 12:00:00 AM"
"365","1496","17","41.4100","43.4805","8/12/2011 12:00:00 AM","1","5","","CS ","8/12/2011 12:00:00 AM"
"365","1554","19","41.2600","43.3230","8/24/2011 12:00:00 AM","1","5","","CS ","8/24/2011 12:00:00 AM"
"366","1496","17","39.4100","41.3805","8/12/2011 12:00:00 AM","1","5","3","CS ","8/12/2011 12:00:00 AM"
"366","1554","19","39.2600","41.2230","8/29/2011 12:00:00 AM","1","5","","CS ","8/29/2011 12:00:00 AM"
"367","1496","17","43.4800","45.6540","8/12/2011 12:00:00 AM","1","5","","CS ","8/12/2011 12:00:00 AM"
"367","1554","19","43.3300","45.4965","8/29/2011 12:00:00 AM","1","5","","CS ","8/29/2011 12:00:00 AM"
"368","1496","17","39.4100","41.3805","8/12/2011 12:00:00 AM","1","5","3","CS ","8/12/2011 12:00:00 AM"
"368","1554","19","39.2600","41.2230","8/29/2011 12:00:00 AM","1","5","","CS ","8/29/2011 12:00:00 AM"
"369","1496","17","37.4100","39.2805","8/12/2011 12:00:00 AM","1","5","3","CS ","8/12/2011 12:00:00 AM"
"369","1554","19","37.2600","39.1230","8/29/2011 12:00:00 AM","1","5","","CS ","8/29/2011 12:00:00 AM"
"370","1496","17","41.4800","43.5540","8/18/2011 12:00:00 AM","1","5","3","CS ","8/18/2011 12:00:00 AM"
"370","1554","19","41.3300","43.3965","7/30/2011 12:00:00 AM","1","5","","CS ","7/30/2011 12:00:00 AM"
"371","1496","17","37.4100","39.2805","8/18/2011 12:00:00 AM","1","5","","CS ","8/18/2011 12:00:00 AM"
"371","1554","19","37.2600","39.1230","7/30/2011 12:00:00 AM","1","5","","CS ","7/30/2011 12:00:00 AM"
"372","1496","17","35.4100","37.1805","8/18/2011 12:00:00 AM","1","5","3","CS ","8/18/2011 12:00:00 AM"
"372","1554","19","35.2600","37.0230","7/30/2011 12:00:00 AM","1","5","","CS ","7/30/2011 12:00:00 AM"
"373","1496","17","39.4800","41.4540","8/18/2011 12:00:00 AM","1","5","3","CS ","8/18/2011 12:00:00 AM"
"373","1554","19","39.3300","41.2965","7/30/2011 12:00:00 AM","1","5","","CS ","7/30/2011 12:00:00 AM"
"374","1496","17","35.4100","37.1805","8/24/2011 12:00:00 AM","1","5","3","CS ","8/24/2011 12:00:00 AM"
"374","1554","19","35.2600","37.0230","8/5/2011 12:00:00 AM","1","5","","CS ","8/5/2011 12:00:00 AM"
"375","1536","15","41.2800","43.3440","8/13/2011 12:00:00 AM","1","5","3","CTN","8/13/2011 12:00:00 AM"
"375","1562","16","41.2100","43.2705","8/10/2011 12:00:00 AM","1","5","","CTN","8/10/2011 12:00:00 AM"
"375","1656","16","41.2100","43.2705","7/29/2011 12:00:00 AM","1","5","","CTN","7/29/2011 12:00:00 AM"
"376","1536","15","37.2100","39.0705","8/13/2011 12:00:00 AM","1","5","","CTN","8/13/2011 12:00:00 AM"
"376","1562","16","39.2100","41.1705","8/10/2011 12:00:00 AM","1","5","","CTN","8/10/2011 12:00:00 AM"
"376","1656","16","45.2800","47.5440","7/29/2011 12:00:00 AM","1","5","","CTN","7/29/2011 12:00:00 AM"
"377","1536","15","35.2100","36.9705","8/20/2011 12:00:00 AM","1","5","3","CTN","8/20/2011 12:00:00 AM"
"377","1562","16","43.2800","45.4440","8/17/2011 12:00:00 AM","1","5","","CTN","8/17/2011 12:00:00 AM"
"377","1656","16","41.2100","43.2705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"378","1536","15","39.2800","41.2440","8/20/2011 12:00:00 AM","1","5","3","CTN","8/20/2011 12:00:00 AM"
"378","1562","16","39.2100","41.1705","8/17/2011 12:00:00 AM","1","5","","CTN","8/17/2011 12:00:00 AM"
"378","1656","16","39.2100","41.1705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"379","1536","15","35.2100","36.9705","8/20/2011 12:00:00 AM","1","5","","CTN","8/20/2011 12:00:00 AM"
"379","1562","16","37.2100","39.0705","8/17/2011 12:00:00 AM","1","5","","CTN","8/17/2011 12:00:00 AM"
"379","1656","16","43.2800","45.4440","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"380","1536","15","41.1600","43.2180","8/26/2011 12:00:00 AM","1","5","3","CTN","8/26/2011 12:00:00 AM"
"380","1562","16","41.2800","43.3440","8/22/2011 12:00:00 AM","1","5","","CTN","8/22/2011 12:00:00 AM"
"380","1656","16","39.2100","41.1705","8/10/2011 12:00:00 AM","1","5","","CTN","8/10/2011 12:00:00 AM"
"381","1536","15","45.2300","47.4915","8/26/2011 12:00:00 AM","1","5","3","CTN","8/26/2011 12:00:00 AM"
"381","1562","16","37.2100","39.0705","8/22/2011 12:00:00 AM","1","5","","CTN","8/22/2011 12:00:00 AM"
"381","1656","16","37.2100","39.0705","8/10/2011 12:00:00 AM","1","5","","CTN","8/10/2011 12:00:00 AM"
"382","1536","15","41.2100","43.2705","8/1/2011 12:00:00 AM","1","5","3","CTN","8/1/2011 12:00:00 AM"
"382","1562","16","35.2100","36.9705","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"383","1536","15","45.2800","47.5440","8/1/2011 12:00:00 AM","1","5","","CTN","8/1/2011 12:00:00 AM"
"383","1562","16","39.2800","41.2440","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"384","1536","15","41.2100","43.2705","8/1/2011 12:00:00 AM","1","5","3","CTN","8/1/2011 12:00:00 AM"
"384","1562","16","35.2100","36.9705","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"385","1536","15","39.2100","41.1705","8/7/2011 12:00:00 AM","1","5","","CTN","8/7/2011 12:00:00 AM"
"385","1562","16","41.1600","43.2180","8/28/2011 12:00:00 AM","1","5","","CTN","8/28/2011 12:00:00 AM"
"386","1536","15","43.2800","45.4440","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"386","1562","16","45.2300","47.4915","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"387","1536","15","39.2100","41.1705","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"387","1562","16","41.2100","43.2705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"388","1536","15","37.2100","39.0705","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"388","1562","16","45.2800","47.5440","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"389","1536","15","41.2800","43.3440","8/7/2011 12:00:00 AM","1","5","","CTN","8/7/2011 12:00:00 AM"
"389","1562","16","41.2100","43.2705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"390","1536","15","37.2100","39.0705","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"390","1562","16","39.2100","41.1705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"391","1536","15","35.2100","36.9705","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"391","1562","16","43.2800","45.4440","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"392","1536","15","39.2800","41.2440","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"392","1562","16","39.2100","41.1705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"393","1536","15","35.2100","36.9705","8/7/2011 12:00:00 AM","1","5","","CTN","8/7/2011 12:00:00 AM"
"393","1562","16","37.2100","39.0705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"394","1536","15","41.1600","43.2180","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"394","1562","16","41.2800","43.3440","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"395","1536","15","45.2300","47.4915","8/7/2011 12:00:00 AM","1","5","3","CTN","8/7/2011 12:00:00 AM"
"395","1562","16","37.2100","39.0705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"396","1536","15","41.2100","43.2705","8/7/2011 12:00:00 AM","1","5","","CTN","8/7/2011 12:00:00 AM"
"396","1562","16","35.2100","36.9705","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"397","1536","15","45.2800","47.5440","8/7/2011 12:00:00 AM","1","5","","CTN","8/7/2011 12:00:00 AM"
"397","1562","16","39.2800","41.2440","8/4/2011 12:00:00 AM","1","5","","CTN","8/4/2011 12:00:00 AM"
"402","1648","15","45.2100","47.4705","8/26/2011 12:00:00 AM","1","5","3","CTN","8/26/2011 12:00:00 AM"
"403","1616","17","45.2100","47.4705","8/6/2011 12:00:00 AM","1","5","3","CAN","8/6/2011 12:00:00 AM"
