"PurchaseOrderID","PurchaseOrderDetailID","DueDate","OrderQty","ProductID","UnitPrice","LineTotal","ReceivedQty","RejectedQty","StockedQty","ModifiedDate"
"1","1","4/30/2011 12:00:00 AM","4","1","50.2600","201.0400","3.00","0.00","3.00","4/23/2011 12:00:00 AM"
"2","2","4/30/2011 12:00:00 AM","3","359","45.1200","135.3600","3.00","0.00","3.00","4/23/2011 12:00:00 AM"
"2","3","4/30/2011 12:00:00 AM","3","360","45.5805","136.7415","3.00","0.00","3.00","4/23/2011 12:00:00 AM"
"3","4","4/30/2011 12:00:00 AM","550","530","16.0860","8847.3000","550.00","0.00","550.00","4/23/2011 12:00:00 AM"
"4","5","4/30/2011 12:00:00 AM","3","4","57.0255","171.0765","2.00","1.00","1.00","4/23/2011 12:00:00 AM"
"5","6","5/14/2011 12:00:00 AM","550","512","37.0860","20397.3000","550.00","0.00","550.00","5/7/2011 12:00:00 AM"
"6","7","5/14/2011 12:00:00 AM","550","513","26.5965","14628.0750","468.00","0.00","468.00","5/7/2011 12:00:00 AM"
"7","8","5/14/2011 12:00:00 AM","550","317","27.0585","14882.1750","550.00","0.00","550.00","5/7/2011 12:00:00 AM"
"7","9","5/14/2011 12:00:00 AM","550","318","33.5790","18468.4500","550.00","0.00","550.00","5/7/2011 12:00:00 AM"
"7","10","5/14/2011 12:00:00 AM","550","319","46.0635","25334.9250","550.00","0.00","550.00","5/7/2011 12:00:00 AM"
"8","11","5/14/2011 12:00:00 AM","3","403","47.4705","142.4115","3.00","0.00","3.00","5/7/2011 12:00:00 AM"
"8","12","5/14/2011 12:00:00 AM","3","404","45.3705","136.1115","3.00","0.00","3.00","5/7/2011 12:00:00 AM"
"8","13","5/14/2011 12:00:00 AM","3","405","49.6440","148.9320","3.00","0.00","3.00","5/7/2011 12:00:00 AM"
"8","14","5/14/2011 12:00:00 AM","3","406","45.3705","136.1115","3.00","0.00","3.00","5/7/2011 12:00:00 AM"
"8","15","5/14/2011 12:00:00 AM","3","407","43.2705","129.8115","3.00","0.00","3.00","5/7/2011 12:00:00 AM"
"9","16","12/28/2011 12:00:00 AM","3","422","47.5230","142.5690","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"9","17","12/28/2011 12:00:00 AM","3","423","45.4230","136.2690","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"9","18","12/28/2011 12:00:00 AM","3","424","49.6965","149.0895","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"9","19","12/28/2011 12:00:00 AM","3","425","45.4230","136.2690","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"9","20","12/28/2011 12:00:00 AM","3","426","43.3230","129.9690","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"10","21","12/28/2011 12:00:00 AM","3","320","47.4705","142.4115","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"10","22","12/28/2011 12:00:00 AM","3","321","42.7980","128.3940","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"10","23","12/28/2011 12:00:00 AM","60","322","25.4205","1525.2300","60.00","0.00","60.00","12/21/2011 12:00:00 AM"
"11","24","12/28/2011 12:00:00 AM","3","438","41.2230","123.6690","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"11","25","12/28/2011 12:00:00 AM","3","439","45.4965","136.4895","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"11","26","12/28/2011 12:00:00 AM","3","440","41.2230","123.6690","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"11","27","12/28/2011 12:00:00 AM","3","441","39.1230","117.3690","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"12","28","12/28/2011 12:00:00 AM","550","941","62.9895","34644.2250","550.00","82.00","468.00","12/21/2011 12:00:00 AM"
"13","29","12/28/2011 12:00:00 AM","3","320","45.3705","136.1115","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"13","30","12/28/2011 12:00:00 AM","3","321","40.4880","121.4640","3.00","0.00","3.00","12/21/2011 12:00:00 AM"
"13","31","12/28/2011 12:00:00 AM","60","322","26.3655","1581.9300","60.00","0.00","60.00","12/21/2011 12:00:00 AM"
"14","32","12/28/2011 12:00:00 AM","3","504","48.7620","146.2860","3.00","3.00","0.00","12/21/2011 12:00:00 AM"
