"PurchaseOrderID","RevisionNumber","Status","EmployeeID","VendorID","ShipMethodID","OrderDate","ShipDate","SubTotal","TaxAmt","Freight","TotalDue","ModifiedDate"
"1","4","4","258","1580","3","4/16/2011 12:00:00 AM","4/25/2011 12:00:00 AM","201.0400","16.0832","5.0260","222.1492","4/25/2011 12:00:00 AM"
"2","4","1","254","1496","5","4/16/2011 12:00:00 AM","4/25/2011 12:00:00 AM","272.1015","21.7681","6.8025","300.6721","4/25/2011 12:00:00 AM"
"3","4","4","257","1494","2","4/16/2011 12:00:00 AM","4/25/2011 12:00:00 AM","8847.3000","707.7840","221.1825","9776.2665","4/25/2011 12:00:00 AM"
"4","4","3","261","1650","5","4/16/2011 12:00:00 AM","4/25/2011 12:00:00 AM","171.0765","13.6861","4.2769","189.0395","4/25/2011 12:00:00 AM"
"5","4","4","251","1654","4","4/30/2011 12:00:00 AM","5/9/2011 12:00:00 AM","20397.3000","1631.7840","509.9325","22539.0165","5/9/2011 12:00:00 AM"
"6","4","4","253","1664","3","4/30/2011 12:00:00 AM","5/9/2011 12:00:00 AM","14628.0750","1170.2460","365.7019","16164.0229","5/9/2011 12:00:00 AM"
"7","4","4","255","1678","3","4/30/2011 12:00:00 AM","5/9/2011 12:00:00 AM","58685.5500","4694.8440","1467.1388","64847.5328","5/9/2011 12:00:00 AM"
"8","4","4","256","1616","5","4/30/2011 12:00:00 AM","5/9/2011 12:00:00 AM","693.3780","55.4702","17.3345","766.1827","5/9/2011 12:00:00 AM"
"9","5","4","259","1492","5","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","694.1655","55.5332","17.3541","767.0528","12/23/2011 12:00:00 AM"
"10","4","4","250","1602","5","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","1796.0355","143.6828","44.9009","1984.6192","12/23/2011 12:00:00 AM"
"11","4","4","258","1540","4","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","501.1965","40.0957","12.5299","553.8221","12/23/2011 12:00:00 AM"
"12","4","4","254","1628","5","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","34644.2250","2771.5380","866.1056","38281.8686","12/23/2011 12:00:00 AM"
"13","4","4","257","1604","4","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","1839.5055","147.1604","45.9876","2032.6535","12/23/2011 12:00:00 AM"
"14","4","3","261","1690","5","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","146.2860","11.7029","3.6572","161.6461","12/23/2011 12:00:00 AM"
"15","4","4","251","1566","5","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","102.5640","8.2051","2.5641","113.3332","12/23/2011 12:00:00 AM"
"16","4","4","253","1698","5","12/14/2011 12:00:00 AM","12/23/2011 12:00:00 AM","150.7905","12.0632","3.7698","166.6235","12/23/2011 12:00:00 AM"
"17","4","4","255","1560","5","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","13669.4250","1093.5540","341.7356","15104.7146","12/24/2011 12:00:00 AM"
"18","4","4","256","1692","5","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","16393.2300","1311.4584","409.8308","18114.5192","12/24/2011 12:00:00 AM"
"19","4","4","259","1696","2","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","79204.1250","6336.3300","1980.1031","87520.5581","12/24/2011 12:00:00 AM"
"20","4","4","260","1504","1","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","551.8800","44.1504","13.7970","609.8274","12/24/2011 12:00:00 AM"
"21","4","4","250","1544","1","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","6987.7500","559.0200","174.6938","7721.4638","12/24/2011 12:00:00 AM"
"22","4","4","254","1530","2","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","28072.2750","2245.7820","701.8069","31019.8639","12/24/2011 12:00:00 AM"
"23","4","4","257","1508","1","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","37312.2750","2984.9820","932.8069","41230.0639","12/24/2011 12:00:00 AM"
"24","4","3","261","1694","1","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","4215.7500","337.2600","105.3938","4658.4038","12/24/2011 12:00:00 AM"
"25","4","4","251","1624","2","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","28297.5000","2263.8000","707.4375","31268.7375","12/24/2011 12:00:00 AM"
"26","4","4","253","1548","2","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","59.9445","4.7956","1.4986","66.2387","12/24/2011 12:00:00 AM"
"27","4","4","255","1598","4","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","722.6100","57.8088","18.0653","798.4841","12/24/2011 12:00:00 AM"
"28","4","4","256","1658","5","12/15/2011 12:00:00 AM","12/24/2011 12:00:00 AM","43878.4500","3510.2760","1096.9613","48485.6873","12/24/2011 12:00:00 AM"
"29","4","4","259","1536","4","1/8/2012 12:00:00 AM","1/17/2012 12:00:00 AM","592.7985","47.4239","14.8200","655.0424","1/17/2012 12:00:00 AM"
"30","4","4","260","1568","2","1/8/2012 12:00:00 AM","1/17/2012 12:00:00 AM","21252.0000","1700.1600","531.3000","23483.4600","1/17/2012 12:00:00 AM"
"31","4","4","258","1648","5","1/8/2012 12:00:00 AM","1/17/2012 12:00:00 AM","142.4115","11.3929","3.5603","157.3647","1/17/2012 12:00:00 AM"
"32","6","4","254","1646","2","1/8/2012 12:00:00 AM","1/17/2012 12:00:00 AM","28794.1500","2303.5320","719.8538","31817.5358","1/17/2012 12:00:00 AM"
