"CountryRegionCode","CurrencyCode","ModifiedDate"
"AE","AED","2/8/2014 10:17:21 AM"
"AR","ARS","2/8/2014 10:17:21 AM"
"AT","ATS","2/8/2014 10:17:21 AM"
"AT","EUR","4/30/2008 12:00:00 AM"
"AU","AUD","2/8/2014 10:17:21 AM"
"BB","BBD","2/8/2014 10:17:21 AM"
"BD","BDT","2/8/2014 10:17:21 AM"
"BE","BEF","2/8/2014 10:17:21 AM"
"BE","EUR","4/30/2008 12:00:00 AM"
"BG","BGN","2/8/2014 10:17:21 AM"
"BH","BHD","2/8/2014 10:17:21 AM"
"BN","BND","2/8/2014 10:17:21 AM"
"BO","BOB","2/8/2014 10:17:21 AM"
"BR","BRL","2/8/2014 10:17:21 AM"
"BS","BSD","2/8/2014 10:17:21 AM"
"BT","BTN","2/8/2014 10:17:21 AM"
"CA","CAD","2/8/2014 10:17:21 AM"
"CH","CHF","2/8/2014 10:17:21 AM"
"CL","CLP","2/8/2014 10:17:21 AM"
"CN","CNY","2/8/2014 10:17:21 AM"
"CO","COP","2/8/2014 10:17:21 AM"
"CR","CRC","2/8/2014 10:17:21 AM"
"CY","CYP","2/8/2014 10:17:21 AM"
"CZ","CZK","2/8/2014 10:17:21 AM"
"DE","DEM","2/8/2014 10:17:21 AM"
"DE","EUR","2/8/2014 10:17:21 AM"
"DK","DKK","2/8/2014 10:17:21 AM"
"DO","DOP","2/8/2014 10:17:21 AM"
"DZ","DZD","2/8/2014 10:17:21 AM"
"EC","USD","2/8/2014 10:17:21 AM"
"EE","EEK","2/8/2014 10:17:21 AM"
"EG","EGP","2/8/2014 10:17:21 AM"
"ES","ESP","2/8/2014 10:17:21 AM"
"ES","EUR","4/30/2008 12:00:00 AM"
"FI","EUR","4/30/2008 12:00:00 AM"
"FI","FIM","2/8/2014 10:17:21 AM"
"FJ","FJD","2/8/2014 10:17:21 AM"
"FR","EUR","2/8/2014 10:17:21 AM"
"FR","FRF","2/8/2014 10:17:21 AM"
"GB","GBP","2/8/2014 10:17:21 AM"
"GH","GHC","2/8/2014 10:17:21 AM"
"GR","EUR","4/30/2008 12:00:00 AM"
"GR","GRD","2/8/2014 10:17:21 AM"
"GT","GTQ","2/8/2014 10:17:21 AM"
"HK","HKD","2/8/2014 10:17:21 AM"
"HR","HRK","2/8/2014 10:17:21 AM"
"HU","HUF","2/8/2014 10:17:21 AM"
"ID","IDR","2/8/2014 10:17:21 AM"
"IE","EUR","4/30/2008 12:00:00 AM"
"IE","IEP","2/8/2014 10:17:21 AM"
"IL","ILS","2/8/2014 10:17:21 AM"
"IN","INR","2/8/2014 10:17:21 AM"
"IS","ISK","2/8/2014 10:17:21 AM"
"IT","EUR","4/30/2008 12:00:00 AM"
"IT","ITL","2/8/2014 10:17:21 AM"
"JM","JMD","2/8/2014 10:17:21 AM"
"JO","JOD","2/8/2014 10:17:21 AM"
"JP","JPY","2/8/2014 10:17:21 AM"
"KE","KES","2/8/2014 10:17:21 AM"
"KR","KRW","2/8/2014 10:17:21 AM"
"KW","KWD","2/8/2014 10:17:21 AM"
"LB","LBP","2/8/2014 10:17:21 AM"
"LK","LKR","2/8/2014 10:17:21 AM"
"LT","LTL","2/8/2014 10:17:21 AM"
"LU","EUR","4/30/2008 12:00:00 AM"
"LV","LVL","2/8/2014 10:17:21 AM"
"MA","MAD","2/8/2014 10:17:21 AM"
"MT","MTL","2/8/2014 10:17:21 AM"
"MU","MUR","2/8/2014 10:17:21 AM"
"MV","MVR","2/8/2014 10:17:21 AM"
"MX","MXN","2/8/2014 10:17:21 AM"
"MY","MYR","2/8/2014 10:17:21 AM"
"NA","NAD","2/8/2014 10:17:21 AM"
"NG","NGN","2/8/2014 10:17:21 AM"
"NL","EUR","4/30/2008 12:00:00 AM"
"NL","NLG","2/8/2014 10:17:21 AM"
"NO","NOK","2/8/2014 10:17:21 AM"
"NP","NPR","2/8/2014 10:17:21 AM"
"NZ","NZD","2/8/2014 10:17:21 AM"
"OM","OMR","2/8/2014 10:17:21 AM"
"PA","PAB","2/8/2014 10:17:21 AM"
"PE","PEN","2/8/2014 10:17:21 AM"
"PH","PHP","2/8/2014 10:17:21 AM"
"PK","PKR","2/8/2014 10:17:21 AM"
"PL","PLN","2/8/2014 10:17:21 AM"
"PL","PLZ","2/8/2014 10:17:21 AM"
"PT","EUR","4/30/2008 12:00:00 AM"
"PT","PTE","2/8/2014 10:17:21 AM"
"PY","PYG","2/8/2014 10:17:21 AM"
"RO","ROL","2/8/2014 10:17:21 AM"
"RU","RUB","2/8/2014 10:17:21 AM"
"RU","RUR","2/8/2014 10:17:21 AM"
"SA","SAR","2/8/2014 10:17:21 AM"
"SE","SEK","2/8/2014 10:17:21 AM"
"SG","SGD","2/8/2014 10:17:21 AM"
"SI","SIT","2/8/2014 10:17:21 AM"
"SK","SKK","2/8/2014 10:17:21 AM"
"SV","SVC","2/8/2014 10:17:21 AM"
"TH","THB","2/8/2014 10:17:21 AM"
"TN","TND","2/8/2014 10:17:21 AM"
"TR","TRL","2/8/2014 10:17:21 AM"
"TT","TTD","2/8/2014 10:17:21 AM"
"TW","TWD","2/8/2014 10:17:21 AM"
"US","USD","2/8/2014 10:17:21 AM"
"UY","UYU","2/8/2014 10:17:21 AM"
"VE","VEB","2/8/2014 10:17:21 AM"
"VN","VND","2/8/2014 10:17:21 AM"
"ZA","ZAR","2/8/2014 10:17:21 AM"
"ZW","ZWD","2/8/2014 10:17:21 AM"
