"CurrencyRateID","CurrencyRateDate","FromCurrencyCode","ToCurrencyCode","AverageRate","EndOfDayRate","ModifiedDate"
"1","5/31/2011 12:00:00 AM","USD","ARS","1.0000","1.0002","5/31/2011 12:00:00 AM"
"2","5/31/2011 12:00:00 AM","USD","AUD","1.5491","1.5500","5/31/2011 12:00:00 AM"
"3","5/31/2011 12:00:00 AM","USD","BRL","1.9379","1.9419","5/31/2011 12:00:00 AM"
"4","5/31/2011 12:00:00 AM","USD","CAD","1.4641","1.4683","5/31/2011 12:00:00 AM"
"5","5/31/2011 12:00:00 AM","USD","CNY","8.2781","8.2784","5/31/2011 12:00:00 AM"
"6","5/31/2011 12:00:00 AM","USD","DEM","1.8967","1.8976","5/31/2011 12:00:00 AM"
"7","5/31/2011 12:00:00 AM","USD","EUR","0.9697","0.9703","5/31/2011 12:00:00 AM"
"8","5/31/2011 12:00:00 AM","USD","FRF","6.3611","6.3613","5/31/2011 12:00:00 AM"
"9","5/31/2011 12:00:00 AM","USD","GBP","0.6183","0.6183","5/31/2011 12:00:00 AM"
"10","5/31/2011 12:00:00 AM","USD","JPY","104.9100","104.9580","5/31/2011 12:00:00 AM"
"11","5/31/2011 12:00:00 AM","USD","MXN","9.3740","9.3840","5/31/2011 12:00:00 AM"
"12","5/31/2011 12:00:00 AM","USD","SAR","3.7507","3.7584","5/31/2011 12:00:00 AM"
"13","5/31/2011 12:00:00 AM","USD","VEB","634.5099","634.6000","5/31/2011 12:00:00 AM"
"14","6/1/2011 12:00:00 AM","USD","ARS","1.0000","0.9991","6/1/2011 12:00:00 AM"
"15","6/1/2011 12:00:00 AM","USD","AUD","1.5559","1.5558","6/1/2011 12:00:00 AM"
"16","6/1/2011 12:00:00 AM","USD","BRL","1.9339","1.9330","6/1/2011 12:00:00 AM"
"17","6/1/2011 12:00:00 AM","USD","CAD","1.4661","1.4637","6/1/2011 12:00:00 AM"
"18","6/1/2011 12:00:00 AM","USD","CNY","8.2781","8.2774","6/1/2011 12:00:00 AM"
"19","6/1/2011 12:00:00 AM","USD","DEM","1.8924","1.8922","6/1/2011 12:00:00 AM"
"20","6/1/2011 12:00:00 AM","USD","EUR","0.9676","0.9670","6/1/2011 12:00:00 AM"
"21","6/1/2011 12:00:00 AM","USD","FRF","6.3468","6.3465","6/1/2011 12:00:00 AM"
"22","6/1/2011 12:00:00 AM","USD","GBP","0.6166","0.6162","6/1/2011 12:00:00 AM"
"23","6/1/2011 12:00:00 AM","USD","JPY","105.7000","105.6740","6/1/2011 12:00:00 AM"
"24","6/1/2011 12:00:00 AM","USD","MXN","9.3949","9.3919","6/1/2011 12:00:00 AM"
"25","6/1/2011 12:00:00 AM","USD","SAR","3.7507","3.7507","6/1/2011 12:00:00 AM"
"26","6/1/2011 12:00:00 AM","USD","VEB","634.2500","634.2400","6/1/2011 12:00:00 AM"
"27","6/2/2011 12:00:00 AM","USD","ARS","1.0000","1.0004","6/2/2011 12:00:00 AM"
"28","6/2/2011 12:00:00 AM","USD","AUD","1.5592","1.5597","6/2/2011 12:00:00 AM"
"29","6/2/2011 12:00:00 AM","USD","BRL","1.9359","1.9440","6/2/2011 12:00:00 AM"
"30","6/2/2011 12:00:00 AM","USD","CAD","1.4672","1.4734","6/2/2011 12:00:00 AM"
"31","6/2/2011 12:00:00 AM","USD","CNY","8.2781","8.2789","6/2/2011 12:00:00 AM"
"32","6/2/2011 12:00:00 AM","USD","DEM","1.8796","1.8802","6/2/2011 12:00:00 AM"
"33","6/2/2011 12:00:00 AM","USD","EUR","0.9610","0.9615","6/2/2011 12:00:00 AM"
"34","6/2/2011 12:00:00 AM","USD","FRF","6.3041","6.3041","6/2/2011 12:00:00 AM"
"35","6/2/2011 12:00:00 AM","USD","GBP","0.6156","0.6163","6/2/2011 12:00:00 AM"
"36","6/2/2011 12:00:00 AM","USD","JPY","105.5300","105.6040","6/2/2011 12:00:00 AM"
"37","6/2/2011 12:00:00 AM","USD","MXN","9.3550","9.3550","6/2/2011 12:00:00 AM"
"38","6/2/2011 12:00:00 AM","USD","SAR","3.7505","3.7570","6/2/2011 12:00:00 AM"
"39","6/2/2011 12:00:00 AM","USD","VEB","634.7500","634.7999","6/2/2011 12:00:00 AM"
"40","6/3/2011 12:00:00 AM","USD","ARS","1.0000","1.0000","6/3/2011 12:00:00 AM"
"41","6/3/2011 12:00:00 AM","USD","AUD","1.5645","1.5634","6/3/2011 12:00:00 AM"
"42","6/3/2011 12:00:00 AM","USD","BRL","1.9295","1.9250","6/3/2011 12:00:00 AM"
"43","6/3/2011 12:00:00 AM","USD","CAD","1.4672","1.4609","6/3/2011 12:00:00 AM"
"44","6/3/2011 12:00:00 AM","USD","CNY","8.2783","8.2782","6/3/2011 12:00:00 AM"
"45","6/3/2011 12:00:00 AM","USD","DEM","1.8811","1.8801","6/3/2011 12:00:00 AM"
"46","6/3/2011 12:00:00 AM","USD","EUR","0.9617","0.9617","6/3/2011 12:00:00 AM"
"47","6/3/2011 12:00:00 AM","USD","FRF","6.3090","6.3080","6/3/2011 12:00:00 AM"
"48","6/3/2011 12:00:00 AM","USD","GBP","0.6163","0.6159","6/3/2011 12:00:00 AM"
"49","6/3/2011 12:00:00 AM","USD","JPY","105.7700","105.6820","6/3/2011 12:00:00 AM"
"50","6/3/2011 12:00:00 AM","USD","MXN","9.3460","9.3369","6/3/2011 12:00:00 AM"
"51","6/3/2011 12:00:00 AM","USD","SAR","3.7492","3.7416","6/3/2011 12:00:00 AM"
"52","6/3/2011 12:00:00 AM","USD","VEB","635.7500","635.6599","6/3/2011 12:00:00 AM"
"53","6/4/2011 12:00:00 AM","USD","ARS","1.0000","1.0004","6/4/2011 12:00:00 AM"
"54","6/4/2011 12:00:00 AM","USD","AUD","1.5667","1.5670","6/4/2011 12:00:00 AM"
"55","6/4/2011 12:00:00 AM","USD","BRL","1.9319","1.9370","6/4/2011 12:00:00 AM"
"56","6/4/2011 12:00:00 AM","USD","CAD","1.4640","1.4673","6/4/2011 12:00:00 AM"
"57","6/4/2011 12:00:00 AM","USD","CNY","8.2784","8.2788","6/4/2011 12:00:00 AM"
"58","6/4/2011 12:00:00 AM","USD","DEM","1.8978","1.8984","6/4/2011 12:00:00 AM"
"59","6/4/2011 12:00:00 AM","USD","EUR","0.9704","0.9711","6/4/2011 12:00:00 AM"
"60","6/4/2011 12:00:00 AM","USD","FRF","6.3654","6.3658","6/4/2011 12:00:00 AM"
"61","6/4/2011 12:00:00 AM","USD","GBP","0.6185","0.6186","6/4/2011 12:00:00 AM"
"62","6/4/2011 12:00:00 AM","USD","JPY","106.1100","106.1820","6/4/2011 12:00:00 AM"
"63","6/4/2011 12:00:00 AM","USD","MXN","9.3350","9.3369","6/4/2011 12:00:00 AM"
"64","6/4/2011 12:00:00 AM","USD","SAR","3.7507","3.7606","6/4/2011 12:00:00 AM"
"65","6/4/2011 12:00:00 AM","USD","VEB","636.2500","636.3300","6/4/2011 12:00:00 AM"
"66","6/5/2011 12:00:00 AM","USD","ARS","1.0000","0.9995","6/5/2011 12:00:00 AM"
"67","6/5/2011 12:00:00 AM","USD","AUD","1.5642","1.5636","6/5/2011 12:00:00 AM"
"68","6/5/2011 12:00:00 AM","USD","BRL","1.9330","1.9250","6/5/2011 12:00:00 AM"
"69","6/5/2011 12:00:00 AM","USD","CAD","1.4641","1.4563","6/5/2011 12:00:00 AM"
"70","6/5/2011 12:00:00 AM","USD","CNY","8.2784","8.2780","6/5/2011 12:00:00 AM"
"71","6/5/2011 12:00:00 AM","USD","DEM","1.9007","1.8997","6/5/2011 12:00:00 AM"
"72","6/5/2011 12:00:00 AM","USD","EUR","0.9718","0.9715","6/5/2011 12:00:00 AM"
"73","6/5/2011 12:00:00 AM","USD","FRF","6.3746","6.3742","6/5/2011 12:00:00 AM"
"74","6/5/2011 12:00:00 AM","USD","GBP","0.6179","0.6173","6/5/2011 12:00:00 AM"
