"SalesReasonID","Name","ReasonType","ModifiedDate"
"1","Price","Other","4/30/2008 12:00:00 AM"
"2","On Promotion","Promotion","4/30/2008 12:00:00 AM"
"3","Magazine Advertisement","Marketing","4/30/2008 12:00:00 AM"
"4","Television  Advertisement","Marketing","4/30/2008 12:00:00 AM"
"5","Manufacturer","Other","4/30/2008 12:00:00 AM"
"6","Review","Other","4/30/2008 12:00:00 AM"
"7","Demo Event","Marketing","4/30/2008 12:00:00 AM"
"8","Sponsorship","Marketing","4/30/2008 12:00:00 AM"
"9","Quality","Other","4/30/2008 12:00:00 AM"
"10","Other","Other","4/30/2008 12:00:00 AM"
