seq,contract_no,sales_order_id,sales_order_number,purchase_order_number,party_a,party_b,customer_id,customer_account,city,state,country,territory,order_date,due_date,ship_date,expiration_date,governing_law,ship_method,carrier_tracking,product_categories,product_subcategories,total_line_items,products,subtotal,tax_amount,freight,total_due,card_type,pdf_filename,pdf_path
1,AWC-SO43659-001,43659,SO43659,PO522145787,"Adventure Works Cycles, Inc.",Better Bike Shop,29825,AW00029825,Austell,Georgia,United States,Southeast,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of California,CARGO TRANSPORT 5,4911-403C-98,Bikes; Clothing; Accessories,Mountain Bikes; Jerseys; Socks; Caps; Helmets,12,"Mountain-100 Black, 42; Mountain-100 Black, 44; Mountain-100 Black, 48; Mountain-100 Silver, 38; Mountain-100 Silver, 42; Mountain-100 Silver, 44; Mountain-100 Silver, 48; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, XL; Mountain Bike Socks, M; AWC Logo Cap; Sport-100 Helmet, Blue",20565.6206,1971.5149,616.0984,23153.2339,ColonialVoice,aw_contract_SO43659.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43659.pdf
2,AWC-SO43660-002,43660,SO43660,PO18850127500,"Adventure Works Cycles, Inc.",Pedals Warehouse,29672,AW00029672,Suwanee,Georgia,United States,Southeast,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Georgia,CARGO TRANSPORT 5,6431-4D57-83,Bikes,Road Bikes,2,"Road-650 Red, 44; Road-450 Red, 52",1294.2529,124.2483,38.8276,1457.3288,Vista,aw_contract_SO43660.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43660.pdf
3,AWC-SO43661-003,43661,SO43661,PO18473189620,"Adventure Works Cycles, Inc.",Original Bicycle Supply Company,29734,AW00029734,Toronto,Ontario,Canada,Canada,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012","Province of Ontario, Canada",CARGO TRANSPORT 5,4E0A-4F89-AE,Components; Clothing; Bikes; Accessories,Mountain Frames; Caps; Jerseys; Mountain Bikes; Helmets,15,"HL Mountain Frame - Black, 48; HL Mountain Frame - Black, 42; HL Mountain Frame - Black, 38; AWC Logo Cap; Long-Sleeve Logo Jersey, L; HL Mountain Frame - Silver, 46; Mountain-100 Black, 38; Mountain-100 Black, 48; Sport-100 Helmet, Blue; HL Mountain Frame - Silver, 48; Mountain-100 Black, 42; Mountain-100 Silver, 44; Long-Sleeve Logo Jersey, XL; Mountain-100 Black, 44; Sport-100 Helmet, Black",32726.4786,3153.7696,985.553,36865.8012,Distinguish,aw_contract_SO43661.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43661.pdf
4,AWC-SO43662-004,43662,SO43662,PO18444174044,"Adventure Works Cycles, Inc.","Health Spa, Limited",29994,AW00029994,Toronto,Ontario,Canada,Canada,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of California,CARGO TRANSPORT 5,2E53-4802-85,Bikes; Components,Road Bikes; Road Frames,22,"Road-650 Red, 52; Road-650 Black, 52; LL Road Frame - Red, 62; Road-450 Red, 58; LL Road Frame - Red, 44; Road-650 Red, 44; Road-650 Black, 58; Road-650 Black, 44; Road-150 Red, 56; Road-450 Red, 44; Road-650 Red, 48; ML Road Frame - Red, 48; Road-450 Red, 52; LL Road Frame - Red, 60; LL Road Frame - Black, 58; Road-150 Red, 62; Road-650 Red, 60; LL Road Frame - Red, 48; ML Road Frame - Red, 52; LL Road Frame - Black, 52; Road-650 Black, 60; Road-450 Red, 60",28832.5289,2775.1646,867.2389,32474.9324,ColonialVoice,aw_contract_SO43662.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43662.pdf
5,AWC-SO43663-005,43663,SO43663,PO18009186470,"Adventure Works Cycles, Inc.",World Bike Discount Store,29565,AW00029565,Trabuco Canyon,California,United States,Southwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of California,CARGO TRANSPORT 5,1E90-4FBF-B6,Bikes,Road Bikes,1,"Road-650 Red, 60",419.4589,40.2681,12.5838,472.3108,Vista,aw_contract_SO43663.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43663.pdf
6,AWC-SO43664-006,43664,SO43664,PO16617121983,"Adventure Works Cycles, Inc.",Capable Sales and Service,29898,AW00029898,Seattle,Washington,United States,Northwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012","Province of British Columbia, Canada",CARGO TRANSPORT 5,2F44-4BA1-BB,Bikes; Clothing,Mountain Bikes; Jerseys,8,"Mountain-100 Silver, 42; Mountain-100 Black, 38; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, XL; Mountain-100 Black, 44; Mountain-100 Silver, 38; Mountain-100 Silver, 44; Mountain-100 Black, 48",24432.6088,2344.9921,732.81,27510.4109,ColonialVoice,aw_contract_SO43664.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43664.pdf
7,AWC-SO43665-007,43665,SO43665,PO16588191572,"Adventure Works Cycles, Inc.",Latest Sports Equipment,29580,AW00029580,Seattle,Washington,United States,Northwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Washington,CARGO TRANSPORT 5,19F0-4638-8E,Accessories; Bikes; Clothing,Helmets; Mountain Bikes; Jerseys; Caps; Socks,10,"Sport-100 Helmet, Blue; Mountain-100 Silver, 44; Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, L; Mountain-100 Black, 44; AWC Logo Cap; Mountain-100 Black, 38; Mountain-100 Black, 48; Mountain Bike Socks, M; Mountain-100 Black, 42",14352.7713,1375.9427,429.9821,16158.6961,Vista,aw_contract_SO43665.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43665.pdf
8,AWC-SO43666-008,43666,SO43666,PO16008173883,"Adventure Works Cycles, Inc.",Wheel Gallery,30052,AW00030052,San Mateo,California,United States,Southwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012","Province of Ontario, Canada",CARGO TRANSPORT 5,D46A-40CA-8D,Bikes; Components,Road Bikes; Road Frames,6,"Road-650 Red, 52; Road-150 Red, 56; ML Road Frame - Red, 48; Road-450 Red, 44; Road-650 Black, 44; Road-650 Black, 60",5056.4896,486.3747,151.9921,5694.8564,Vista,aw_contract_SO43666.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43666.pdf
9,AWC-SO43667-009,43667,SO43667,PO15428132599,"Adventure Works Cycles, Inc.",Yellow Bicycle Company,29974,AW00029974,Saint Louis,Missouri,United States,Central,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Washington,CARGO TRANSPORT 5,4DFB-4B10-A6,Clothing; Bikes,Socks; Mountain Bikes,4,"Mountain Bike Socks, L; Mountain-100 Silver, 44; Mountain-100 Black, 48; Mountain-100 Black, 38",6107.082,586.1203,183.1626,6876.3649,SuperiorCard,aw_contract_SO43667.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43667.pdf
10,AWC-SO43668-010,43668,SO43668,PO14732180295,"Adventure Works Cycles, Inc.",Retail Mall,29614,AW00029614,Richmond,British Columbia,Canada,Canada,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012","Province of Ontario, Canada",CARGO TRANSPORT 5,365D-4C9A-BE,Bikes; Clothing; Components; Accessories,Road Bikes; Jerseys; Road Frames; Helmets; Caps,29,"Road-450 Red, 44; Road-150 Red, 56; Road-650 Red, 60; Road-650 Black, 58; Long-Sleeve Logo Jersey, L; LL Road Frame - Red, 62; Sport-100 Helmet, Red; Sport-100 Helmet, Blue; Road-450 Red, 58; AWC Logo Cap; LL Road Frame - Red, 60; Road-450 Red, 60; Road-650 Red, 62; Road-650 Black, 52; LL Road Frame - Red, 48; Road-650 Red, 52; Road-650 Black, 60; LL Road Frame - Red, 44; Long-Sleeve Logo Jersey, XL; Road-650 Black, 44; ML Road Frame - Red, 48; Road-450 Red, 52; Road-650 Red, 44; LL Road Frame - Black, 52; Long-Sleeve Logo Jersey, M; LL Road Frame - Black, 58; Sport-100 Helmet, Black; ML Road Frame - Red, 52; Road-650 Red, 48",35944.1562,3461.7654,1081.8017,40487.7233,ColonialVoice,aw_contract_SO43668.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43668.pdf
