SalesOrderID,SalesOrderNumber,CustomerID,CustomerName,AccountNumber,City,State,Country,PostalCode,TerritoryName,PurchaseOrderNumber,OrderDate,DueDate,ShipDate,ShipMethod,CarrierTracking,CardType,SubTotal,TaxAmt,Freight,TotalDue,Products,ProductCategories,ProductSubcategories,TotalLineItems
43659,SO43659,29825,Better Bike Shop,AW00029825,Austell,Georgia,United States,30106,Southeast,PO522145787,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,4911-403C-98,ColonialVoice,20565.6206,1971.5149,616.0984,23153.2339,"Mountain-100 Black, 42; Mountain-100 Black, 44; Mountain-100 Black, 48; Mountain-100 Silver, 38; Mountain-100 Silver, 42; Mountain-100 Silver, 44; Mountain-100 Silver, 48; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, XL; Mountain Bike Socks, M; AWC Logo Cap; Sport-100 Helmet, Blue",Bikes; Clothing; Accessories,Mountain Bikes; Jerseys; Socks; Caps; Helmets,12
43660,SO43660,29672,Pedals Warehouse,AW00029672,Suwanee,Georgia,United States,30024,Southeast,PO18850127500,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,6431-4D57-83,Vista,1294.2529,124.2483,38.8276,1457.3288,"Road-650 Red, 44; Road-450 Red, 52",Bikes,Road Bikes,2
43661,SO43661,29734,Original Bicycle Supply Company,AW00029734,Toronto,Ontario,Canada,M4B 1V5,Canada,PO18473189620,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,4E0A-4F89-AE,Distinguish,32726.4786,3153.7696,985.553,36865.8012,"HL Mountain Frame - Black, 48; HL Mountain Frame - Black, 42; HL Mountain Frame - Black, 38; AWC Logo Cap; Long-Sleeve Logo Jersey, L; HL Mountain Frame - Silver, 46; Mountain-100 Black, 38; Mountain-100 Black, 48; Sport-100 Helmet, Blue; HL Mountain Frame - Silver, 48; Mountain-100 Black, 42; Mountain-100 Silver, 44; Long-Sleeve Logo Jersey, XL; Mountain-100 Black, 44; Sport-100 Helmet, Black",Components; Clothing; Bikes; Accessories,Mountain Frames; Caps; Jerseys; Mountain Bikes; Helmets,15
43662,SO43662,29994,"Health Spa, Limited",AW00029994,Toronto,Ontario,Canada,M4B 1V5,Canada,PO18444174044,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,2E53-4802-85,ColonialVoice,28832.5289,2775.1646,867.2389,32474.9324,"Road-650 Red, 52; Road-650 Black, 52; LL Road Frame - Red, 62; Road-450 Red, 58; LL Road Frame - Red, 44; Road-650 Red, 44; Road-650 Black, 58; Road-650 Black, 44; Road-150 Red, 56; Road-450 Red, 44; Road-650 Red, 48; ML Road Frame - Red, 48; Road-450 Red, 52; LL Road Frame - Red, 60; LL Road Frame - Black, 58; Road-150 Red, 62; Road-650 Red, 60; LL Road Frame - Red, 48; ML Road Frame - Red, 52; LL Road Frame - Black, 52; Road-650 Black, 60; Road-450 Red, 60",Bikes; Components,Road Bikes; Road Frames,22
43663,SO43663,29565,World Bike Discount Store,AW00029565,Trabuco Canyon,California,United States,92679,Southwest,PO18009186470,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,1E90-4FBF-B6,Vista,419.4589,40.2681,12.5838,472.3108,"Road-650 Red, 60",Bikes,Road Bikes,1
43664,SO43664,29898,Capable Sales and Service,AW00029898,Seattle,Washington,United States,98104,Northwest,PO16617121983,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,2F44-4BA1-BB,ColonialVoice,24432.6088,2344.9921,732.81,27510.4109,"Mountain-100 Silver, 42; Mountain-100 Black, 38; Long-Sleeve Logo Jersey, M; Long-Sleeve Logo Jersey, XL; Mountain-100 Black, 44; Mountain-100 Silver, 38; Mountain-100 Silver, 44; Mountain-100 Black, 48",Bikes; Clothing,Mountain Bikes; Jerseys,8
43665,SO43665,29580,Latest Sports Equipment,AW00029580,Seattle,Washington,United States,98104,Northwest,PO16588191572,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,19F0-4638-8E,Vista,14352.7713,1375.9427,429.9821,16158.6961,"Sport-100 Helmet, Blue; Mountain-100 Silver, 44; Sport-100 Helmet, Red; Long-Sleeve Logo Jersey, L; Mountain-100 Black, 44; AWC Logo Cap; Mountain-100 Black, 38; Mountain-100 Black, 48; Mountain Bike Socks, M; Mountain-100 Black, 42",Accessories; Bikes; Clothing,Helmets; Mountain Bikes; Jerseys; Caps; Socks,10
43666,SO43666,30052,Wheel Gallery,AW00030052,San Mateo,California,United States,94404,Southwest,PO16008173883,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,D46A-40CA-8D,Vista,5056.4896,486.3747,151.9921,5694.8564,"Road-650 Red, 52; Road-150 Red, 56; ML Road Frame - Red, 48; Road-450 Red, 44; Road-650 Black, 44; Road-650 Black, 60",Bikes; Components,Road Bikes; Road Frames,6
43667,SO43667,29974,Yellow Bicycle Company,AW00029974,Saint Louis,Missouri,United States,63103,Central,PO15428132599,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,4DFB-4B10-A6,SuperiorCard,6107.082,586.1203,183.1626,6876.3649,"Mountain Bike Socks, L; Mountain-100 Silver, 44; Mountain-100 Black, 48; Mountain-100 Black, 38",Clothing; Bikes,Socks; Mountain Bikes,4
43668,SO43668,29614,Retail Mall,AW00029614,Richmond,British Columbia,Canada,V6B 3P7,Canada,PO14732180295,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,365D-4C9A-BE,ColonialVoice,35944.1562,3461.7654,1081.8017,40487.7233,"Road-450 Red, 44; Road-150 Red, 56; Road-650 Red, 60; Road-650 Black, 58; Long-Sleeve Logo Jersey, L; LL Road Frame - Red, 62; Sport-100 Helmet, Red; Sport-100 Helmet, Blue; Road-450 Red, 58; AWC Logo Cap; LL Road Frame - Red, 60; Road-450 Red, 60; Road-650 Red, 62; Road-650 Black, 52; LL Road Frame - Red, 48; Road-650 Red, 52; Road-650 Black, 60; LL Road Frame - Red, 44; Long-Sleeve Logo Jersey, XL; Road-650 Black, 44; ML Road Frame - Red, 48; Road-450 Red, 52; Road-650 Red, 44; LL Road Frame - Black, 52; Long-Sleeve Logo Jersey, M; LL Road Frame - Black, 58; Sport-100 Helmet, Black; ML Road Frame - Red, 52; Road-650 Red, 48",Bikes; Clothing; Components; Accessories,Road Bikes; Jerseys; Road Frames; Helmets; Caps,29
